"GL_CODE","GL_DESC"
"6200000A2","CHGS SUR OPS BANC. DIVERSES"
"6210000A3","FRAIS ENG. ET COM. SUR CHQ ET EFFET"
"6220000A3","COMMISSIONS ET FRAIS SUR TITRES"
"6230000A3","COMM, FRAIS ET PERTES OPS DE CHANGE"
"6231000A4","COM ET FRAIS SUR OPS CHANG AU CTANT"
"6233000A4","PERTES DE CHANGE"
"6240000A3","COMMISSION SUR ENGAG. PAR SIGNATURE"
"6250000A3","AUTRES COMM. ET FRAIS BANCAIRES"
"6260000A3","PERTES SUR TITRES DE TRANSACTION"
"6300000A2","CHARGES SUR RESSOURCES PERMANENTES"
"6310000A3","INTERETS SUR RESSOURCES PERMANENTES"
"6311000A4","SUR EMPRUNTS OBLIGATAIRES"
"6312000A4","SUR EMPRUNTS PARTICIPATIFS"
"6313000A4","SUR DETTES SUBORDONÉES"
"6314000A4","SUR CPTES BLOQUÉS DES ACTIONNAIRES"
"6315000A4","SUR AUTRES COMPTES BLOQUÉS"
"6316000A4","SUR TITRES DE CRÉANCES NÉGOCIABLES"
"6317000A4","INTS SUR AUT EMP À MOYEN  LONG TERM"
"6320000A3","COMM SUR RESSOURCES PERMANENTES"
"6321000A4","SUR EMPRUNTS OBLIGATAIRES"
"6322000A4","SUR EMPRUNTS PARTICIPATIFS"
"6323000A4","SUR DETTES SUBORDONÉES"
"6324000A4","SUR CPTES BLOQUÉS DES ACTIONNAIRES"
"6325000A4","SUR AUTRES COMPTES BLOQUÉS"
"6326000A4","SUR TITRES DE CRÉANCES NÉGOCIABLES"
"6327000A4","INTS SUR AUT EMP À MOYEN  LONG TERM"
"6400000A2","CHARGES GENERALES D EXPLOITATION"
"6410000A3","FOURNITURES CONSOMMEES"
"6411000A4","EAU, ELECTRICITE, GAZ ET CARBURANT"
"6412000A4","PETIT OUTILLAGE"
"6413000A4","FOURNIT. DE BUREAU ET DOC. GENERALE"
"6414000A4","FOURNITURE D ENTRETIEN"
"6419000A4","FOURNITURES NON VENTILES"
"6420000A3","TRANSPORT ET DEPLACEMENT"
"6430000A3","AUTRES SERVICES CONSOMMES"
"6431000A4","AFRANCHISSEMENT, TELEPHONE, TELEX"
"6432000A4","FRAIS DE MISSION"
"6433000A4","RECEPTIONS, PUBLICITE"
"6434000A4","LOYERS ET CHARGES LOCATIVES"
"6435000A4","HONORAIRES ET FRAIS DE CONTENTIEUX"
"6436000A4","ENTRETIEN ET REPARATION"
"6437000A4","INFORMATIQUE(LOC. DE MAT ET ASSIST)"
"6440000A3","ASSISTANCE TECHN ET FRAIS D INSPECT"
"6441000A4","ASSISTANCE TECHNIQUE"
"6442000A4","INSPECTION"
"6450000A3","CHARGES DIVERSES D EXPLOITATION"
"6452000A4","ASSURANCES"
"6454000A4","COTISATIONS PROFESSIONNELLES"
"6455000A4","FORMATION DU PERSONNEL"
"6459000A4","CHARGES DIVERSES"
"6500000A2","FRAIS DE PERSONNEL"
"6511000A4","REMUN. DIR. DES CADRES SUPERIEURS"
"6512000A4","REMUN. DIR. DES AGENTS DE MAITRISE"
"6520000A3","REMUN. DIRECTE DES EMPLOYES PERMAN."
"6530000A3","REMUN. DIRECTE DU PERSONNEL DE SERV"
"6540000A3","REMUN. DIRECTE DU PERSON TEMPORAIRE"
"6550000A3","COTISATIONS SOC. (PART PATRONALE)"
"6561000A4","INDEMNITES SOCIALES"
"6570000A3","AVANTAGES EN NATURE"
"6580000A3","INDEMNITES DE FONCTION"
